lst_a : 129, 246, 730, 444, 276, 53, 773, 132, 534, 380, 261, 471, 106, 691, 364, 285, 28, 124, 879, 934
lst_b : 935, 915, 876, 868, 812, 734, 725, 72, 70, 670, 648, 564, 545, 457, 394, 344, 263, 207, 205, 177
lst_c : 142, 315, 476, 40, 896, 269, 639, 964, 113, 333, 313, 536, 225, 523, 552, 354, 689, 88, 520, 522
lst_d : 23, 22, 718, 215, 963, 762, 725, 880, 20, 878, 606, 926, 482, 416, 64, 316, 106, 808, 383, 819
lst_e : 983, 922, 890, 834, 797, 794, 79, 777, 744, 722, 705, 699, 597, 54, 534, 488, 385, 240, 236, 149
lst_f : 105, 146, 177, 23, 391, 410, 450, 523, 555, 58, 602, 70, 77, 790, 837, 838, 89, 944, 960, 981
lst_g : 122, 168, 190, 192, 219, 248, 271, 288, 319, 350, 379, 392, 547, 575, 578, 71, 853, 877, 885, 943
lst_h : 908, 825, 815, 772, 666, 654, 653, 625, 584, 571, 548, 534, 425, 374, 359, 194, 188, 146, 134, 127
lst_i : 973, 971, 966, 951, 949, 868, 863, 850, 829, 744, 71, 704, 611, 584, 377, 376, 334, 299, 254, 171
lst_j : 993, 987, 972, 902, 898, 863, 781, 747, 669, 644, 592, 507, 470, 402, 186, 159, 144, 140, 115, 60
lst_k : 50, 65, 123, 127, 208, 273, 447, 513, 545, 633, 640, 698, 699, 731, 754, 799, 892, 896, 956, 970
lst_l : 980, 929, 925, 833, 776, 700, 658, 641, 630, 620, 556, 54, 486, 450, 44, 398, 374, 209, 186, 142
lst_m : 15, 41, 63, 196, 277, 363, 420, 427, 465, 508, 566, 578, 610, 693, 711, 842, 867, 889, 898, 907
lst_n : 29, 162, 219, 237, 269, 272, 417, 450, 512, 530, 557, 600, 700, 758, 760, 829, 835, 877, 889, 962
lst_o : 957, 957, 861, 841, 834, 77, 738, 659, 606, 59, 488, 460, 419, 377, 352, 253, 202, 19, 182, 121
lst_p : 603, 694, 467, 949, 121, 835, 461, 244, 32, 570, 360, 928, 522, 170, 845, 297, 455, 271, 727, 285
lst_q : 974, 956, 951, 886, 875, 864, 802, 77, 750, 743, 72, 710, 533, 451, 425, 410, 384, 166, 121, 120
lst_r : 10, 19, 93, 106, 130, 153, 219, 269, 279, 348, 407, 422, 469, 483, 487, 578, 647, 748, 861, 999
lst_s : 274, 390, 829, 958, 566, 146, 857, 944, 46, 585, 816, 429, 937, 697, 705, 86, 202, 186, 431, 726
lst_t : 110, 130, 192, 278, 292, 326, 329, 354, 380, 43, 451, 452, 468, 566, 570, 674, 769, 818, 835, 849
lst_u : 108, 111, 116, 211, 22, 346, 354, 367, 370, 533, 574, 603, 629, 631, 790, 790, 87, 871, 940, 983
lst_v : 37, 59, 138, 170, 245, 283, 284, 298, 413, 430, 477, 603, 699, 706, 713, 714, 734, 878, 961, 976
lst_w : 31, 31, 42, 46, 55, 91, 153, 227, 234, 308, 351, 354, 355, 399, 426, 468, 507, 523, 583, 814
lst_x : 990, 974, 951, 897, 884, 754, 743, 722, 712, 694, 677, 634, 619, 592, 531, 453, 405, 320, 288, 147
lst_y : 994, 88, 88, 75, 744, 742, 662, 648, 637, 604, 584, 446, 445, 404, 303, 220, 220, 174, 127, 111
lst_z : 959, 920, 895, 830, 712, 642, 613, 591, 573, 564, 525, 473, 386, 358, 139, 134, 129, 71, 61, 40
